claim_id,exact_claim_text,claim_type,section,figure,dataset,consumer,backbone,experimental_protocol,source_script,source_artifact,sample_unit,n,effect_size,confidence_interval,raw_p,multiple_testing_family,corrected_p,status,notes
PAGE-001,01 · OVERVIEW,exploratory,overview,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:46; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-002,"Store for the reader, not for the image.",exploratory,overview,,synthetic serving,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/mp_store.py; audit_workspace/source/legacy/mt_store.py,ZIP/site/index.html:47; mp_store2.json; mt_store.json,run / synthetic trace,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-003,"An embodied agent keeps a compact state in memory and reads it back later. We measure which reader that stored state actually serves, and find the answer changes with the record's age. FRAME sizes and lays out every record for the reader that will consume it.",exploratory,overview,,synthetic serving,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/mp_store.py; audit_workspace/source/legacy/mt_store.py,ZIP/site/index.html:49; mp_store2.json; mt_store.json,run / synthetic trace,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-004,The diagram is wider than this screen. Scroll it sideways.,exploratory,overview,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:215; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-005,"Figure 1. The full loop. Solid arrows carry data. Dashed arrows close the loop and mark the two places time is spent, namely sensing again and the world changing while the agent decides. The band at the bottom lists which stages this work measures.",exploratory,overview,Figure 1,LIBERO replay; custom SAPIEN,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/libero_multi.py; audit_workspace/source/legacy/fig_frontier.py,ZIP/site/index.html:216; libero_10tasks.json; e11_frontier.json,task / demonstration (pairing unavailable),,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-006,What prior systems assume,exploratory,overview,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:224; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-007,The worth of a stored record is a property of the record. Compression work optimises how well the record reconstructs. Cache work optimises how recently the record was touched. Both then apply one fidelity setting to every reader and one deadline to every age.,exploratory,overview,,synthetic serving,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/mp_store.py; audit_workspace/source/legacy/mt_store.py,ZIP/site/index.html:225; mp_store2.json; mt_store.json,run / synthetic trace,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-008,What we measure instead,exploratory,overview,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:230; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-009,"The worth of a record is a property of its reader. Holding the record and its size fixed, the reader with the lowest error changes as the record ages. A setting chosen without knowing the reader is therefore wrong for one of them at every age.",exploratory,overview,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:231; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-010,The consequence for a memory system,exploratory,overview,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:237; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-011,"A fidelity requirement cannot be a byte count. It has to return two things, a byte tier and a reference grid, where the reference grid is the coordinate system and granularity the reader indexes. Our measurements show the second is the binding one. Holding bits and capacity fixed and permuting the index destroys the record. Granting the misaligned encoding 64 times the capacity does not recover it.",exploratory,overview,,DAVIS,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/relayout.py; audit_workspace/source/legacy/frame_ref.py,ZIP/site/index.html:238; relayout.json; frame_ref3.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-012,"Every value is measured. Validation spans two encoders, two video datasets and two physics engines.",exploratory,overview,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:255; q1q3_all90.json; e21_clip.json,video,,,,,,,NOT_SUPPORTED,Overclaimed; see RESULTS_AUDIT.md for protocol and statistical corrections.
PAGE-013,02 · METHOD,exploratory,method,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:265; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-014,"A requirement that returns two values, and a rule that compares ages.",exploratory,method,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:266; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-015,"The write path chooses a tier and a grid for each reader. The read path picks one of three ways to answer, using a single comparison and no cost term.",exploratory,method,,DAVIS,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/relayout.py; audit_workspace/source/legacy/frame_ref.py,ZIP/site/index.html:268; relayout.json; frame_ref3.json,video,,,,,,,NOT_SUPPORTED,Overclaimed; see RESULTS_AUDIT.md for protocol and statistical corrections.
PAGE-016,2.1 Distortion in the reader's decision space,exploratory,method,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:274; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-017,"A record is written at time t by encoder e and read at t+Δ by reader c whose read-out is gc. Error is measured on the reader's own decision, never on pixels.",exploratory,method,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:275; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-018,"Every error on this page is divided by a no-memory baseline, defined as the same read-out scored against a record drawn from a uniformly random frame of the same sequence. That record carries no information about the queried time step. A value of 1.0 means the memory adds nothing. Above 1.0 means the memory is worse than having none. This is what lets three readers with different loss functions be compared on one axis.",exploratory,method,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:282; q1q3_all90.json; e21_clip.json,video,,,,,,,NOT_SUPPORTED,Overclaimed; see RESULTS_AUDIT.md for protocol and statistical corrections.
PAGE-019,2.2 Write path,exploratory,method,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:288; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-020,A conventional store admits at one globally chosen tier. FRAME admits at the grid the requesting reader indexes. Writing ro(c) for that grid and B(g) for the bytes of a g×g payload:,exploratory,method,,DAVIS,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/relayout.py; audit_workspace/source/legacy/frame_ref.py,ZIP/site/index.html:289; relayout.json; frame_ref3.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-021,"The direction of the fallback is the design. A byte-driven store compacts toward whatever fits. FRAME holds the reader's own granularity as long as it can, because Section 4 shows that going below it is where the error appears.",exploratory,method,,DAVIS,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/relayout.py; audit_workspace/source/legacy/frame_ref.py,ZIP/site/index.html:298; relayout.json; frame_ref3.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-022,2.3 Read path,exploratory,method,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:302; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-023,"Three ways can answer a read. Their belief errors have a closed form, with |v| the object speed, σ the per-observation noise, and W the window over which a velocity was estimated before the record was written.",exploratory,method,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:303; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
