suite,task_id,task,initial_state_index,success,steps,model_calls,inference_median_seconds,inference_p95_seconds,inference_total_seconds,wall_seconds,gpu_board_gross_episode_mJ,peak_gpu_allocated_bytes,tokenizer_variant,timing
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1,1,81,6,1.1713131237775087,2.6126885833218694,8.94777411967516,49.43813263718039,5808018,5107576832,Wan-AI public VAE; NVIDIA identity unestablished,synchronous
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,2,1,80,5,1.1859844252467155,1.1908063365146517,5.913537126965821,46.4913752283901,5493882,5107576832,Wan-AI public VAE; NVIDIA identity unestablished,synchronous
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,3,1,78,5,1.1835223734378815,1.191677687689662,5.9200514908879995,46.157735634595156,5444563,5107576832,Wan-AI public VAE; NVIDIA identity unestablished,synchronous
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,4,1,79,5,1.1846568249166012,1.222926758043468,5.968119283206761,46.405712245963514,5482232,5107576832,Wan-AI public VAE; NVIDIA identity unestablished,synchronous
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,5,1,78,5,1.1704021440818906,1.2007185956463218,5.893233817070723,45.93734211381525,5422926,5107576832,Wan-AI public VAE; NVIDIA identity unestablished,synchronous
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,6,1,73,5,1.1837196350097656,1.197781110368669,5.909406574442983,41.51413403917104,5047892,5107576832,Wan-AI public VAE; NVIDIA identity unestablished,synchronous
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,7,1,80,5,1.174427879974246,1.1855400120839477,5.885802216827869,45.76837196666747,5455876,5107576832,Wan-AI public VAE; NVIDIA identity unestablished,synchronous
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,8,1,75,5,1.1859485507011414,1.2096739253029227,5.9584825318306684,44.5804692953825,5320870,5107576832,Wan-AI public VAE; NVIDIA identity unestablished,synchronous
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,9,1,76,5,1.1846966249868274,1.2092051222920417,5.938245675526559,43.05632261093706,5158351,5107576832,Wan-AI public VAE; NVIDIA identity unestablished,synchronous
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,10,1,69,5,1.1746311020106077,1.1850014099851252,5.880894022062421,40.334912007674575,4904568,5107576832,Wan-AI public VAE; NVIDIA identity unestablished,synchronous
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,11,1,69,5,1.1708929408341646,1.1992978144437074,5.8958146115764976,39.57461185846478,4857670,5107576832,Wan-AI public VAE; NVIDIA identity unestablished,synchronous
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,12,1,72,5,1.1804775446653366,1.186398908495903,5.894808812998235,42.442255802452564,5127090,5107576832,Wan-AI public VAE; NVIDIA identity unestablished,synchronous
